sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
CP042324.1	CP042324.1_2	1144	3813	+	PF04851	Pfam	1.0919773850852148e-11	3.947857502115744e-15	35	211	0.9648923826246136
CP042324.1	CP042324.1_2	1144	3813	+	PF03457	Pfam	5.151853499718083e-15	1.8625645335206374e-18	575	643	0.9648923826246136
CP042324.1	CP042324.1_2	1144	3813	+	PF03457	Pfam	6.664204847775972e-10	2.4093293014374447e-13	649	720	0.9648923826246136
CP042324.1	CP042324.1_2	1144	3813	+	PF03457	Pfam	6.491543492700316e-9	2.346906541106405e-12	729	791	0.9648923826246136
CP042324.1	CP042324.1_2	1144	3813	+	PF03457	Pfam	1.6971116577672854e-8	6.135616983974279e-12	814	885	0.9648923826246136
CP042324.1	CP042324.1_3	3869	6220	+	PF03457	Pfam	2.5299983112975603e-12	9.14677625197961e-16	365	424	0.9691307600967218
CP042324.1	CP042324.1_3	3869	6220	+	PF03457	Pfam	1.0297950740696356e-10	3.7230479901288344e-14	510	569	0.9691307600967218
CP042324.1	CP042324.1_3	3869	6220	+	PF03457	Pfam	7.026617445176037e-8	2.540353378588589e-11	658	700	0.9691307600967218
CP042324.1	CP042324.1_5	7145	9307	+	PF00665	Pfam	8.782164731398489e-8	3.175041479175159e-11	269	409	0.9691185625426061
CP042324.1	CP042324.1_6	9301	10410	+	PF13604	Pfam	1.5756116140100142e-6	5.696354352892315e-10	111	212	0.969578634342522
CP042324.1	CP042324.1_16	17937	18263	+	PF19746	Pfam	1.8506071537750598e-9	6.690553701283658e-13	38	96	0.999174845863991
CP042324.1	CP042324.1_17	18485	19351	-	PF01590	Pfam	4.5439374526715144e-8	1.6427828823830494e-11	129	260	0.989363560028181
CP042324.1	CP042324.1_20	22230	22424	-	PF01695	Pfam	9.864695774653117e-18	3.566412066035111e-21	2	45	0.948924780061624
CP042324.1	CP042324.1_21	22843	23061	+	PF01695	Pfam	1.451119166642977e-6	5.246273198275405e-10	2	49	0.945838353516288
CP042324.1	CP042324.1_26	26527	28728	-	PF13088	Pfam	2.12440205727863e-20	7.680412354586515e-24	74	376	0.9515349509466456
CP042324.1	CP042324.1_27	29163	29519	+	PF03457	Pfam	1.7054951648884945e-10	6.165926120348859e-14	40	115	0.956667467877904
CP042324.1	CP042324.1_31	32134	33357	+	PF00201	Pfam	3.956063435336542e-17	1.4302470843588367e-20	227	364	0.957933119529997
CP042324.1	CP042324.1_31	32134	33357	+	PF04101	Pfam	4.3626517497241233e-10	1.5772421365596975e-13	286	365	0.957933119529997
CP042324.1	CP042324.1_34	35179	35907	-	PF05368	Pfam	2.6542740339519672e-8	9.596073875459028e-12	3	172	0.9421556218605881
CP042324.1	CP042324.1_34	35179	35907	-	PF13460	Pfam	2.47741218956701e-10	8.956660121355784e-14	7	171	0.9421556218605881
CP042324.1	CP042324.1_35	36006	36674	-	PF00881	Pfam	4.630853448534993e-29	1.6742058743799685e-32	7	197	0.9379865178316584
CP042324.1	CP042324.1_36	36816	37478	+	PF02525	Pfam	1.4025955092106475e-31	5.070844212619839e-35	3	163	0.933710312984083
CP042324.1	CP042324.1_36	36816	37478	+	PF03358	Pfam	1.3201790041735563e-9	4.772881432297745e-13	15	140	0.933710312984083
CP042324.1	CP042324.1_37	37614	38768	-	PF12802	Pfam	2.1970497148163188e-11	7.943057537296887e-15	271	330	0.9284785327532498
CP042324.1	CP042324.1_37	37614	38768	-	PF01047	Pfam	2.1326153937033664e-7	7.710106267908049e-11	275	330	0.9284785327532498
CP042324.1	CP042324.1_41	40223	40402	-	PF13586	Pfam	2.566333217628976e-8	9.278138892367954e-12	3	41	0.921682757132821
CP042324.1	CP042324.1_42	40478	40918	-	PF13340	Pfam	1.7006760434688412e-16	6.148503410950257e-20	1	43	0.918886896736768
CP042324.1	CP042324.1_43	41354	41764	+	PF13340	Pfam	1.6774520860487523e-25	6.064541164312192e-29	10	87	0.91605258621457
CP042324.1	CP042324.1_44	41800	42174	+	PF13586	Pfam	1.7026942384440967e-6	6.155799849761738e-10	36	103	0.9131781914143435
CP042324.1	CP042324.1_48	45267	46073	+	PF08240	Pfam	2.153057868685409e-6	7.784012540438934e-10	28	87	0.7859759513064044
CP042324.1	CP042324.1_48	45267	46073	+	PF00107	Pfam	9.533509103524412e-11	3.446677188548233e-14	157	239	0.7859759513064044
CP042324.1	CP042324.1_51	47789	48844	-	PF00356	Pfam	7.004091239805345e-18	2.5322094142463285e-21	10	55	0.2231138642521413
CP042324.1	CP042324.1_51	47789	48844	-	PF00532	Pfam	1.556191140452759e-27	5.626142951745333e-31	68	317	0.2231138642521413
CP042324.1	CP042324.1_51	47789	48844	-	PF13407	Pfam	3.061466968995303e-11	1.1068210300055325e-14	69	278	0.2231138642521413
