sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
1	1_1	3	1451	+	PF13450	Pfam	3.3651521346230936e-7	1.216613208468219e-10	2	62	0.9935736142646066
1	1_1	3	1451	+	PF13738	Pfam	6.938314578934335e-15	2.5084289873226087e-18	3	170	0.9935736142646066
1	1_1	3	1451	+	PF00743	Pfam	3.776386679688477e-9	1.3652880259177428e-12	19	192	0.9935736142646066
1	1_1	3	1451	+	PF13434	Pfam	1.2880444246215083e-10	4.656704355103067e-14	57	176	0.9935736142646066
1	1_2	1465	2991	+	PF01565	Pfam	3.680469111308546e-24	1.3306106693089465e-27	90	230	0.9967793393766756
1	1_2	1465	2991	+	PF09265	Pfam	5.223581879143443e-38	1.8884967025102833e-41	306	507	0.9967793393766756
1	1_3	3094	3462	+	PF10604	Pfam	1.4445480451224083e-7	5.222516432112828e-11	9	105	0.9976281872321912
1	1_4	3560	4396	+	PF12146	Pfam	6.367792001042226e-26	2.302166305510566e-29	34	264	0.9980937030599145
1	1_4	3560	4396	+	PF00561	Pfam	9.940805549449776e-15	3.593928253597171e-18	38	142	0.9980937030599145
1	1_4	3560	4396	+	PF12697	Pfam	3.885421730069997e-23	1.4047077838286323e-26	38	270	0.9980937030599145
1	1_5	4393	5088	+	PF17837	Pfam	1.0610132019592039e-21	3.83591179305569e-25	28	94	0.9992203925259424
1	1_5	4393	5088	+	PF01648	Pfam	1.97772751039764e-12	7.1501356124282e-16	102	182	0.9992203925259424
1	1_6	5104	5787	-	PF12833	Pfam	8.715654756530312e-21	3.1509959351158036e-24	128	206	0.9991245727193626
1	1_6	5104	5787	-	PF00165	Pfam	4.571154566864988e-8	1.6526227645932713e-11	172	206	0.9991245727193626
1	1_7	6211	6702	-	PF08592	Pfam	1.156837606008345e-13	4.182348539437256e-17	59	148	0.9994768685296024
1	1_9	7447	8310	-	PF13460	Pfam	1.680729859650765e-11	6.076391394254392e-15	27	187	0.9994696544740793
1	1_9	7447	8310	-	PF05368	Pfam	8.615463762825238e-7	3.1147735946584375e-10	123	221	0.9994696544740793
1	1_10	8619	9611	+	PF00501	Pfam	1.737165193879336e-11	6.2804236944299925e-15	43	138	0.9995616138076159
1	1_10	8619	9611	+	PF00501	Pfam	7.567429951418961e-12	2.7358748920531315e-15	196	312	0.9995616138076159
1	1_11	9715	10521	-	PF00106	Pfam	5.945619438688188e-60	2.1495370349559606e-63	14	207	0.9994841138747151
1	1_11	9715	10521	-	PF08659	Pfam	1.1173467638425247e-12	4.039576152720624e-16	15	171	0.9994841138747151
1	1_11	9715	10521	-	PF13561	Pfam	1.5306740364826034e-52	5.533890225895168e-56	19	265	0.9994841138747151
1	1_12	10695	10934	-	PF13822	Pfam	3.502422673952421e-8	1.2662410245670359e-11	15	73	0.9995430653275152
1	1_13	10931	12505	-	PF01039	Pfam	4.0586175296231985e-190	1.4673237634212577e-193	36	521	0.999216877873427
1	1_16	14565	15386	+	PF00486	Pfam	6.052776614902973e-10	2.188277879574466e-13	23	98	0.9994256848026251
1	1_16	14565	15386	+	PF03704	Pfam	1.8561831592621644e-47	6.710712795597124e-51	105	250	0.9994256848026251
1	1_18	16245	17249	-	PF10604	Pfam	5.669947579876284e-7	2.0498725885308332e-10	160	263	0.9990105923224817
