sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
1	1_5	7208	9154	-	PF12696	Pfam	9.80030896813917e-7	3.5431341171869735e-10	453	570	0.004119410319347007
1	1_7	10596	11015	-	PF12728	Pfam	2.5472641511885816e-10	9.209197943559587e-14	16	60	0.005589980818132428
1	1_10	12592	13869	-	PF01551	Pfam	1.3805688993153425e-27	4.991210771205143e-31	110	210	0.01803842739374275
1	1_21	22194	23339	+	PF13614	Pfam	1.937992505058612e-29	7.006480495511974e-33	115	263	0.006634553740817221
1	1_21	22194	23339	+	PF09140	Pfam	5.421421002238479e-7	1.960022054316153e-10	116	154	0.006634553740817221
1	1_21	22194	23339	+	PF02374	Pfam	8.670664520425884e-9	3.134730484608057e-12	116	164	0.006634553740817221
1	1_21	22194	23339	+	PF01656	Pfam	1.1579022043841532e-14	4.18619741281328e-18	117	322	0.006634553740817221
1	1_21	22194	23339	+	PF10609	Pfam	1.3321595311423753e-8	4.8161949788227594e-12	121	253	0.006634553740817221
1	1_21	22194	23339	+	PF06564	Pfam	9.01111827239338e-8	3.2578157167004264e-11	123	255	0.006634553740817221
1	1_23	24742	25617	-	PF03668	Pfam	9.50405790134109e-7	3.4360296100293166e-10	41	130	5.834430286822737e-7
1	1_23	24742	25617	-	PF01230	Pfam	9.676745927419141e-9	3.4984620128051848e-12	153	239	5.834430286822737e-7
1	1_24	25734	26597	-	PF13671	Pfam	5.424902346896638e-17	1.9612806749445545e-20	22	147	0.0053421124166151855
1	1_25	26626	27858	-	PF02384	Pfam	4.641008834848535e-7	1.6778773806393837e-10	71	243	0.007678135023773778
1	1_31	30524	31201	-	PF00990	Pfam	5.774814437515865e-30	2.08778540763408e-33	42	194	0.01574149396690987
1	1_39	35544	36257	-	PF00293	Pfam	5.725642050828861e-19	2.0700079721000947e-22	14	136	0.10695657060677737
1	1_58	50781	51530	+	PF00392	Pfam	4.6404609884010826e-15	1.6776793161247588e-18	10	72	0.058919380458922914
1	1_58	50781	51530	+	PF07702	Pfam	1.549377653928218e-15	5.601509956356537e-19	105	235	0.058919380458922914
1	1_59	51527	52111	+	PF13238	Pfam	9.072253901517359e-9	3.2799182579599996e-12	15	138	0.026242666991970434
1	1_59	51527	52111	+	PF13671	Pfam	1.214382680327472e-19	4.3903929151390886e-23	15	160	0.026242666991970434
1	1_61	53529	54098	+	PF00857	Pfam	8.875225763405492e-32	3.208686103906541e-35	8	162	0.027227148952566418
1	1_70	64529	66367	-	PF06414	Pfam	7.577869442096678e-54	2.739649111387085e-57	31	220	0.0002098903043330792
1	1_70	64529	66367	-	PF13671	Pfam	3.951870015760874e-9	1.428731025220851e-12	40	168	0.0002098903043330792
