sequence_id	cluster_id	start	end	average_p	max_p	type	alkaloid_probability	nrp_probability	polyketide_probability	ripp_probability	saccharide_probability	terpene_probability	proteins	domains
1	1_cluster_1	3	52580	0.9793084195150864	0.9999982886802173	NRP	0.020000000000000018	0.5800000000000001	0.44999999999999996	0.010000000000000009	0.13	0.030000000000000027	1_1;1_10;1_11;1_12;1_13;1_14;1_15;1_16;1_17;1_18;1_19;1_2;1_20;1_21;1_22;1_23;1_24;1_25;1_26;1_27;1_28;1_29;1_3;1_30;1_31;1_32;1_33;1_34;1_35;1_36;1_37;1_38;1_39;1_4;1_40;1_41;1_42;1_43;1_44;1_45;1_46;1_47;1_5;1_6;1_7;1_8;1_9	PF00067;PF00106;PF00106;PF00165;PF00248;PF00440;PF00440;PF00440;PF00486;PF00486;PF00501;PF00501;PF00501;PF00501;PF00501;PF00550;PF00550;PF00550;PF00550;PF00561;PF00668;PF00668;PF00668;PF00743;PF01039;PF01073;PF01370;PF01381;PF01435;PF01565;PF01648;PF02661;PF03704;PF03704;PF03756;PF03756;PF04321;PF04542;PF04545;PF05368;PF05368;PF05977;PF07690;PF07690;PF08592;PF08659;PF08659;PF09265;PF10604;PF10604;PF12146;PF12697;PF12833;PF13193;PF13193;PF13193;PF13434;PF13450;PF13460;PF13460;PF13561;PF13561;PF13738;PF13822;PF16363;PF17837
1	1_cluster_2	138270	179829	0.9611783544496137	0.9904783045231453	Unknown	0.024994124371620074	0.2429237221700924	0.3923869474027143	0.05879964550574801	0.08999999999999997	0.041154502281997796	1_137;1_138;1_139;1_140;1_141;1_142;1_143;1_144;1_145;1_146;1_147;1_148;1_149;1_150;1_151;1_152;1_153;1_154;1_155;1_156;1_157;1_158;1_159;1_160;1_161;1_162;1_163;1_164;1_165;1_166;1_167	PF00067;PF00106;PF00282;PF00440;PF00441;PF00441;PF00501;PF00550;PF00652;PF00725;PF00989;PF00989;PF01370;PF01433;PF01512;PF01590;PF01590;PF01593;PF02737;PF02770;PF02770;PF02771;PF02771;PF03572;PF07714;PF08028;PF08028;PF08448;PF08448;PF08659;PF10589;PF13185;PF13185;PF13188;PF13365;PF13370;PF13380;PF13426;PF13450;PF13459;PF13549;PF13561;PF13607;PF13977;PF17900;PF19379;PF19631
1	1_cluster_3	197745	213936	0.9614364269779847	0.9983852133937884	Unknown	0.01690323479924616	0.16979280692773768	0.16878355950816437	0.11811160947956933	0.026666666666666727	0.07552062877316945	1_185;1_186;1_187;1_188;1_189;1_190;1_191;1_192;1_193;1_194;1_195;1_196;1_197;1_198;1_199;1_200;1_201;1_202;1_203;1_204;1_205	PF00067;PF00196;PF00196;PF00561;PF01636;PF02567;PF04203;PF12146;PF12697;PF12833;PF16715;PF16868;PF16868
1	1_cluster_4	278784	285231	0.8915625581773998	0.969734478481724	Polyketide	0.04699149241767775	0.0645982095858626	0.6449773288412246	0.020664494482426465	0.0	0.10805994881606074	1_269;1_270;1_271;1_272;1_273;1_274;1_275	PF00135;PF00195;PF01040;PF01494;PF02797;PF04140;PF07859;PF08392;PF08541;PF20434
1	1_cluster_5	292568	312881	0.934127491366641	0.9985784751719302	Unknown	0.008820844813665518	0.11428716833569452	0.2750155149879824	0.07440863063693526	0.020000000000000018	0.09605036038197812	1_281;1_282;1_283;1_284;1_285;1_286;1_287;1_288;1_289;1_290;1_291;1_292;1_293;1_294;1_295;1_296	PF00083;PF00440;PF00583;PF03171;PF03403;PF07690;PF07690;PF07728;PF12844;PF13302;PF13424;PF14226;PF18029;PF19908
1	1_cluster_6	332793	360582	0.9888355279340085	0.9999992457564073	Unknown	0.000688346883468971	0.07672628726287256	0.18552845528455275	0.48470460704607055	0.050000000000000044	0.032753387533875244	1_315;1_316;1_317;1_318;1_319;1_320;1_321;1_322;1_323;1_324;1_325;1_326;1_327;1_328;1_329;1_330;1_331;1_332;1_333;1_334;1_335;1_336;1_337;1_338	PF00005;PF00392;PF00440;PF00561;PF01047;PF01565;PF04183;PF04183;PF04738;PF05147;PF05368;PF05729;PF06276;PF06276;PF08031;PF08241;PF08241;PF08592;PF12146;PF12697;PF12802;PF13365;PF13460;PF13489;PF13649;PF14028
1	1_cluster_7	514540	530391	0.9352192595471267	0.99814746985909	Unknown	0.07750321216233491	0.06715943261314794	0.20636209208096334	0.08499819510529971	0.0	0.2985201701850707	1_505;1_506;1_507;1_508;1_509;1_510;1_511;1_512;1_513;1_514;1_515;1_516;1_517;1_518;1_519;1_520;1_521;1_522;1_523	PF00571;PF00571;PF01266;PF01593;PF03358;PF10604;PF13450;PF17196;PF18105;PF18604
1	1_cluster_10	574503	602147	0.9499261696838582	0.9999995013140588	Terpene	0.040000000000000036	0.06000000000000005	0.18999999999999995	0.010000000000000009	0.010000000000000009	0.52	1_567;1_568;1_569;1_570;1_571;1_572;1_573;1_574;1_575;1_576;1_577;1_578;1_579;1_580;1_581;1_582;1_583;1_584;1_585;1_586;1_587;1_588;1_589;1_590;1_591;1_592;1_593;1_594;1_595;1_596	PF00107;PF00300;PF00348;PF00355;PF00440;PF00494;PF00571;PF00571;PF00890;PF01209;PF01266;PF01266;PF01494;PF01590;PF01590;PF01593;PF01593;PF05834;PF08240;PF08241;PF08242;PF12831;PF13185;PF13185;PF13185;PF13229;PF13450;PF13450;PF13489;PF13492;PF13492;PF13649;PF13847;PF18029;PF19299;PF19593
1	1_cluster_11	607494	628888	0.9782485942823336	0.9999785395419112	Unknown	0.08753750556636875	0.05564447522026883	0.2625970079132002	0.08214457036174627	0.030000000000000027	0.12970981022705563	1_604;1_605;1_606;1_607;1_608;1_609;1_610;1_611;1_612;1_613;1_614;1_615;1_616;1_617;1_618;1_619;1_620;1_621	PF00011;PF00230;PF00370;PF00652;PF00890;PF01266;PF01494;PF01590;PF02782;PF03602;PF05175;PF08241;PF12831;PF13185;PF13489;PF13492;PF13649;PF13847;PF14200;PF14200;PF16483;PF16901;PF17196;PF17886;PF19870;PF20087
1	1_cluster_12	698855	712676	0.9325950905233734	0.9991119921524682	Unknown	0.014287594367187517	0.13390104185934892	0.1213381349457977	0.4843747629459896	0.010000000000000009	0.060910769779495166	1_677;1_678;1_679;1_680;1_681;1_682;1_683;1_684;1_685;1_686;1_687;1_688;1_689;1_690;1_691;1_692	PF00005;PF00294;PF00704;PF01081;PF01261;PF12802;PF19384
