sequence_id	protein_id	start	end	strand	average_p	max_p
1	1_1	3	1451	+	0.9935736142646066	0.9935736142646066
1	1_2	1465	2991	+	0.9967793393766756	0.9967793393766756
1	1_3	3094	3462	+	0.9976281872321912	0.9976281872321912
1	1_4	3560	4396	+	0.9980937030599145	0.9980937030599145
1	1_5	4393	5088	+	0.9992203925259424	0.9992203925259424
1	1_6	5104	5787	-	0.9991245727193626	0.9991245727193626
1	1_7	6211	6702	-	0.9994768685296024	0.9994768685296024
1	1_8	6699	7040	-	0.9994309391419155	0.9994309391419155
1	1_9	7447	8310	-	0.9994696544740793	0.9994696544740793
1	1_10	8619	9611	+	0.9995616138076159	0.9995616138076159
1	1_11	9715	10521	-	0.9994841138747151	0.9994841138747151
1	1_12	10695	10934	-	0.9995430653275152	0.9995430653275152
1	1_13	10931	12505	-	0.999216877873427	0.999216877873427
1	1_14	12540	13898	-	0.9991965953801093	0.9991965953801093
1	1_15	14238	14426	+	0.9992659562602928	0.9992659562602928
1	1_16	14565	15386	+	0.9994256848026251	0.9994256848026251
1	1_17	15479	15961	-	0.9991699285266505	0.9991699285266505
1	1_18	16245	17249	-	0.9990105923224817	0.9990105923224817
1	1_19	17316	18674	-	0.9986891116848563	0.9986891116848563
1	1_20	20294	20968	-	0.9986174928242914	0.9986174928242914
1	1_21	21080	22045	-	0.9990025036784685	0.9990025036784685
1	1_22	22282	23007	-	0.998813431045441	0.998813431045441
1	1_23	23198	23878	-	0.9990308823021229	0.9990308823021229
1	1_24	23999	25471	-	0.9998447599684773	0.9998447599684773
1	1_25	25959	26921	+	0.9999894143500156	0.9999894143500156
1	1_26	27465	28931	+	0.994338022540013	0.994338022540013
1	1_27	29032	29397	-	0.9881542481489534	0.9881542481489534
1	1_28	30005	30922	+	0.9770535731836405	0.9770535731836405
1	1_29	31134	31544	-	0.9692974394549565	0.9692974394549565
1	1_30	31801	32208	-	0.9608514161509173	0.9608514161509173
1	1_31	32464	32829	-	0.9516852120346168	0.9516852120346168
1	1_32	33411	33782	+	0.9416239128939146	0.9416239128939146
1	1_33	33817	34407	+	0.8479903961188805	0.8479903961188805
1	1_34	34467	34583	-	0.87319713521128	0.87319713521128
1	1_35	34652	35503	-	0.8879908810779348	0.8879908810779348
1	1_36	35584	35757	-	0.912929896155113	0.912929896155113
1	1_37	35827	36198	-	0.9250209546251404	0.9250209546251404
1	1_38	36424	36753	+	0.9362284275497218	0.9362284275497218
1	1_39	36875	37111	+	0.9466020620965632	0.9466020620965632
1	1_40	37108	37878	+	0.9561793919595167	0.9561793919595167
1	1_41	37875	39323	+	0.9936448549081351	0.9936448549081351
1	1_42	39480	42491	-	0.9999138044853187	0.9999138044853187
1	1_43	42481	44331	-	0.9999837722503069	0.9999837722503069
1	1_44	44333	46255	-	0.9999875862507219	0.9999875862507219
1	1_45	46255	49440	-	0.9999982886802173	0.9999982886802173
1	1_46	49735	51036	-	0.9998116664984914	0.9998116664984914
1	1_47	51219	52580	-	0.9943534795813095	0.9943534795813095
1	1_48	52924	54081	-	0.6289275543010793	0.6289275543010793
1	1_49	54248	54793	-	0.642746505968423	0.642746505968423
1	1_50	55002	56879	-	0.6581559679835722	0.6581559679835722
1	1_51	57206	58849	+	0.6606993400430616	0.6606993400430616
1	1_52	59248	60918	+	0.6606599520480412	0.6606599520480412
1	1_53	61022	61264	-	0.6611602906984345	0.6611602906984345
1	1_54	61320	62684	-	0.6622055806915547	0.6622055806915547
1	1_55	62705	63439	+	0.6374836652742232	0.6374836652742232
1	1_56	63540	63758	+	0.6123349174933976	0.6123349174933976
1	1_57	63850	65361	-	0.00862343514372688	0.00862343514372688
1	1_58	65709	66329	+	0.36031153726283727	0.36031153726283727
1	1_59	66649	67836	-	0.3751890002210895	0.3751890002210895
1	1_60	68073	69047	+	0.3388222580468986	0.3388222580468986
1	1_61	69139	69555	+	0.305986368936399	0.305986368936399
1	1_62	69720	69965	+	0.27633844996125884	0.27633844996125884
1	1_63	69971	70552	-	0.2495689080039313	0.2495689080039313
1	1_64	70634	71524	-	0.23912028680905617	0.23912028680905617
1	1_65	71592	71771	+	0.23150404394358443	0.23150404394358443
1	1_66	71735	72100	-	0.2247216551505416	0.2247216551505416
1	1_67	72090	73001	-	0.19859753382600834	0.19859753382600834
1	1_68	73115	74062	+	0.1718985667271425	0.1718985667271425
1	1_69	74201	74539	-	0.15843894722385357	0.15843894722385357
1	1_70	74965	75291	-	0.1472026895644035	0.1472026895644035
1	1_71	75341	76885	-	0.13707690966151473	0.13707690966151473
1	1_72	77269	77472	-	0.12712279761189033	0.12712279761189033
1	1_73	77789	79183	-	0.1264326590599668	0.1264326590599668
1	1_74	79180	79902	-	0.19650375521215663	0.19650375521215663
1	1_75	79976	81163	+	0.1939505084614723	0.1939505084614723
1	1_76	81160	82155	+	0.1909010538165093	0.1909010538165093
1	1_77	82242	82721	+	0.18749805158518043	0.18749805158518043
1	1_78	82938	83156	-	0.18546232162724638	0.18546232162724638
1	1_79	83432	84667	+	0.18385525351429624	0.18385525351429624
1	1_80	84657	84941	-	0.17561603113374086	0.17561603113374086
1	1_81	84943	85452	-	0.1682350017907566	0.1682350017907566
1	1_82	85449	85757	-	0.16163509040000898	0.16163509040000898
1	1_83	85810	86478	-	0.15574737856136656	0.15574737856136656
1	1_84	86698	87651	+	0.15091316319809533	0.15091316319809533
1	1_85	88291	89499	-	0.1503978654065279	0.1503978654065279
1	1_86	89675	90130	-	0.1502360486839746	0.1502360486839746
1	1_87	90387	90608	+	0.15042602328810825	0.15042602328810825
1	1_88	90593	90949	+	0.15096977299492328	0.15096977299492328
1	1_89	91311	92459	-	0.15187297581396358	0.15187297581396358
1	1_90	92692	92955	+	0.15314506327992672	0.15314506327992672
1	1_91	93056	93805	-	0.15479931893978643	0.15479931893978643
1	1_92	93913	94110	+	0.15774562923677124	0.15774562923677124
1	1_93	94315	94977	-	0.1611665601441726	0.1611665601441726
1	1_94	95536	96153	-	0.08453728219007386	0.08453728219007386
1	1_95	96222	97556	+	0.03102388123017162	0.03102388123017162
1	1_96	97748	98149	+	0.022861764852891264	0.022861764852891264
1	1_97	98146	99150	+	0.0295523115081995	0.0295523115081995
1	1_98	99147	100175	+	0.0324176237642233	0.0324176237642233
1	1_99	100785	101150	+	0.025473052792075936	0.025473052792075936
1	1_100	101199	101354	+	0.028443316915022106	0.028443316915022106
1	1_101	101484	101819	+	0.031113137725572795	0.031113137725572795
1	1_102	101833	104160	+	0.03351476404445602	0.03351476404445602
1	1_103	104281	105303	-	0.0006467650072285199	0.0006467650072285199
1	1_104	105402	106037	+	0.024213027325224498	0.024213027325224498
1	1_105	106230	107228	-	0.026168743391801506	0.026168743391801506
1	1_106	107285	108226	+	0.0207038561472074	0.0207038561472074
1	1_107	108831	109727	-	0.020587411502010138	0.020587411502010138
1	1_108	109865	110683	+	0.03268083783707426	0.03268083783707426
1	1_109	110725	111321	+	0.030679851119736166	0.030679851119736166
1	1_110	111368	112081	+	0.050083681460898005	0.050083681460898005
1	1_111	112078	113352	+	0.04546537637406375	0.04546537637406375
1	1_112	113407	113784	+	0.041295174399383405	0.041295174399383405
1	1_113	114731	115147	-	0.0375295289448947	0.0375295289448947
1	1_114	115406	115519	+	0.03412911792809974	0.03412911792809974
1	1_115	115968	116804	-	0.0310584331621166	0.0310584331621166
1	1_116	116988	117953	-	0.02828540956775704	0.02828540956775704
1	1_117	118018	118386	-	0.02684068216962376	0.02684068216962376
1	1_118	118472	119491	-	0.024848860581002184	0.024848860581002184
1	1_119	119491	120087	-	0.032279072598380615	0.032279072598380615
1	1_120	120604	121146	+	0.03037581596984686	0.03037581596984686
1	1_121	121149	121652	+	0.03398584342884538	0.03398584342884538
1	1_122	121772	122191	+	0.03797534386545517	0.03797534386545517
1	1_123	122244	122807	+	0.042385976927986124	0.042385976927986124
1	1_124	122833	125331	-	0.0472637998672466	0.0472637998672466
1	1_125	125567	126109	+	0.030081523654346937	0.030081523654346937
1	1_126	126164	127018	-	0.03436529120384225	0.03436529120384225
1	1_127	127088	127795	-	0.039093780114701715	0.039093780114701715
1	1_128	128036	128779	+	0.044316366790862	0.044316366790862
1	1_129	129025	130476	+	0.03485085797769814	0.03485085797769814
1	1_130	130587	131705	+	0.08380883420832723	0.08380883420832723
1	1_131	131888	132331	+	0.11267515432054387	0.11267515432054387
1	1_132	132382	133284	-	0.3332801964977303	0.3332801964977303
1	1_133	133611	134192	-	0.4499175561303403	0.4499175561303403
1	1_134	134294	135277	+	0.6676813893579037	0.6676813893579037
1	1_135	135340	136779	+	0.7155741083986814	0.7155741083986814
1	1_136	136769	138277	-	0.7353315397398307	0.7353315397398307
1	1_137	138270	139610	-	0.8750729562171343	0.8750729562171343
1	1_138	139663	141012	+	0.8775122551167098	0.8775122551167098
1	1_139	141023	141214	+	0.8777500012655893	0.8777500012655893
1	1_140	141216	142055	+	0.879307375783463	0.879307375783463
1	1_141	142052	143284	+	0.9512570558446954	0.9512570558446954
1	1_142	143328	144500	+	0.9523951999157768	0.9523951999157768
1	1_143	144539	145711	+	0.9542035195121189	0.9542035195121189
1	1_144	145802	146764	+	0.9742895549752216	0.9742895549752216
1	1_145	146761	147372	+	0.9777301349746851	0.9777301349746851
1	1_146	147441	147794	-	0.9849165922353159	0.9849165922353159
1	1_147	148603	149700	+	0.9904783045231453	0.9904783045231453
1	1_148	149837	150268	+	0.9894074865545822	0.9894074865545822
1	1_149	150431	151825	+	0.9885432606826314	0.9885432606826314
