sequence_id	protein_id	start	end	strand	average_p	max_p
1	1_1	2886	3629	-	0.021377763139786555	0.021377763139786555
1	1_2	3712	4596	-	0.01644686021445461	0.01644686021445461
1	1_3	4698	5417	-	0.012046053619709814	0.012046053619709814
1	1_4	5531	6721	-	0.007862504109680847	0.007862504109680847
1	1_5	7208	9154	-	0.004119410319347007	0.004119410319347007
1	1_6	9748	10497	+	0.010109250801623303	0.010109250801623303
1	1_7	10596	11015	-	0.005589980818132428	0.005589980818132428
1	1_8	11296	11454	-	0.02416262752113024	0.02416262752113024
1	1_9	11725	12081	+	0.02126581235342207	0.02126581235342207
1	1_10	12592	13869	-	0.01803842739374275	0.01803842739374275
1	1_11	13982	14470	+	0.03331618293881918	0.03331618293881918
1	1_12	14470	14757	+	0.03145069308505181	0.03145069308505181
1	1_13	14754	15533	+	0.029376697514811752	0.029376697514811752
1	1_14	15533	16897	+	0.027069839293568838	0.027069839293568838
1	1_15	16894	18387	+	0.024502768322401565	0.024502768322401565
1	1_16	18416	19879	+	0.02164463985784807	0.02164463985784807
1	1_17	19876	20190	-	0.024898662498592967	0.024898662498592967
1	1_18	20235	20810	-	0.028814223619857544	0.028814223619857544
1	1_19	20848	21339	-	0.03313104852450934	0.03313104852450934
1	1_20	21391	22047	-	0.03789421488836282	0.03789421488836282
1	1_21	22194	23339	+	0.006634553740817221	0.006634553740817221
1	1_22	23336	24550	+	0.011094660160024233	0.011094660160024233
1	1_23	24742	25617	-	5.834430286822737e-7	5.834430286822737e-7
1	1_24	25734	26597	-	0.0053421124166151855	0.0053421124166151855
1	1_25	26626	27858	-	0.007678135023773778	0.007678135023773778
1	1_26	27855	28061	-	0.0338868017871501	0.0338868017871501
1	1_27	28076	28396	-	0.03099678903754657	0.03099678903754657
1	1_28	28538	29014	-	0.027779977040738778	0.027779977040738778
1	1_29	29014	29781	-	0.024196412572504166	0.024196412572504166
1	1_30	29785	30306	-	0.021618419660265276	0.021618419660265276
1	1_31	30524	31201	-	0.01574149396690987	0.01574149396690987
1	1_32	31450	31812	-	0.11677941254312843	0.11677941254312843
1	1_33	31809	32315	-	0.11602498821436572	0.11602498821436572
1	1_34	32574	32762	-	0.11519438561323453	0.11519438561323453
1	1_35	32858	33187	-	0.11427849894754079	0.11427849894754079
1	1_36	33307	33948	-	0.11326723460830566	0.11326723460830566
1	1_37	33980	34435	-	0.11214938254378659	0.11214938254378659
1	1_38	34936	35436	-	0.1109124705486324	0.1109124705486324
1	1_39	35544	36257	-	0.10695657060677737	0.10695657060677737
1	1_40	36501	37298	-	0.10515825188252666	0.10515825188252666
1	1_41	37417	37611	+	0.10368944507361615	0.10368944507361615
1	1_42	37694	38185	-	0.10253481242634295	0.10253481242634295
1	1_43	38253	39689	-	0.10168229689477441	0.10168229689477441
1	1_44	39686	40537	-	0.1013262843600414	0.1013262843600414
1	1_45	40626	41060	-	0.10285589294101362	0.10285589294101362
1	1_46	41069	43207	-	0.10471457563744462	0.10471457563744462
1	1_47	43327	43527	-	0.10692174141260768	0.10692174141260768
1	1_48	43531	44013	-	0.10950043820230729	0.10950043820230729
1	1_49	44305	44469	-	0.11247759358884696	0.11247759358884696
1	1_50	44498	46243	-	0.1158842959875152	0.1158842959875152
1	1_51	46375	46560	-	0.11975611928182953	0.11975611928182953
1	1_52	46669	46890	-	0.12020296866131158	0.12020296866131158
1	1_53	47029	47775	-	0.12061780924051133	0.12061780924051133
1	1_54	47848	48144	-	0.12100508808076517	0.12100508808076517
1	1_55	48322	48579	-	0.12136895688038495	0.12136895688038495
1	1_56	48979	49422	-	0.12171331996298042	0.12171331996298042
1	1_57	49729	50433	-	0.12204187957762895	0.12204187957762895
1	1_58	50781	51530	+	0.058919380458922914	0.058919380458922914
1	1_59	51527	52111	+	0.026242666991970434	0.026242666991970434
1	1_60	52339	53505	+	0.03035194788720629	0.03035194788720629
1	1_61	53529	54098	+	0.027227148952566418	0.027227148952566418
1	1_62	54095	54991	+	0.030888943723619968	0.030888943723619968
1	1_63	56487	56663	+	0.03417529542333915	0.03417529542333915
1	1_64	56809	58266	+	0.037127186674401534	0.037127186674401534
1	1_65	58613	59371	+	0.03978081301095323	0.03978081301095323
1	1_66	59411	60607	-	0.04216821884654147	0.04216821884654147
1	1_67	61074	61214	+	0.04431783756623258	0.04431783756623258
1	1_68	61396	64047	-	0.04625495253893759	0.04625495253893759
1	1_69	64245	64553	+	0.048002092567011996	0.048002092567011996
1	1_70	64529	66367	-	0.0002098903043330792	0.0002098903043330792
1	1_71	66486	67619	+	0.004286522295811576	0.004286522295811576
1	1_72	67641	68222	+	0.05842728693254258	0.05842728693254258
1	1_73	68675	68980	+	0.05928567744005148	0.05928567744005148
1	1_74	69163	70452	+	0.06024206152625677	0.06024206152625677
1	1_75	70495	70869	-	0.06129106149179946	0.06129106149179946
1	1_76	70897	71187	-	0.05679480102077203	0.05679480102077203
1	1_77	71597	71887	-	0.059372756979196195	0.059372756979196195
1	1_78	72283	73224	+	0.07299410027839894	0.07299410027839894
1	1_79	73288	74094	+	0.08061265021029726	0.08061265021029726
1	1_80	74232	74348	+	0.08905003214440448	0.08905003214440448
1	1_81	74356	75534	+	0.09839435193999195	0.09839435193999195
1	1_82	75701	76276	+	0.09395294305422552	0.09395294305422552
1	1_83	76695	76847	+	0.08990731232667748	0.08990731232667748
1	1_84	76851	77486	+	0.0031699694546464567	0.0031699694546464567
1	1_85	77562	77825	-	0.007955867156320611	0.007955867156320611
1	1_86	77955	78395	+	0.012239831724537423	0.012239831724537423
1	1_87	78629	79273	-	0.01607785160176814	0.01607785160176814
1	1_88	79273	79773	-	0.019519036680138265	0.019519036680138265
1	1_89	80215	81186	-	0.02260658119921092	0.02260658119921092
1	1_90	81352	82581	+	0.00008526038016460302	0.00008526038016460302
1	1_91	82684	83154	-	0.005251058612997235	0.005251058612997235
1	1_92	83290	83397	-	0.010914150769318474	0.010914150769318474
1	1_93	83538	86246	-	0.0171336726811272	0.0171336726811272
1	1_94	86243	86431	-	0.020469280112936767	0.020469280112936767
2	2_1	3	1178	+	0.10835018167300826	0.10835018167300826
2	2_2	1420	1836	+	0.08216054480773942	0.08216054480773942
2	2_3	5912	7351	+	0.058470863730172136	0.058470863730172136
2	2_4	7260	8153	-	0.03703376316163529	0.03703376316163529
2	2_5	8233	9186	-	0.0176253899945384	0.0176253899945384
2	2_6	10029	11117	-	0.00004307574613392073	0.00004307574613392073
2	2_7	11720	13066	-	9.54469056832284e-6	9.54469056832284e-6
2	2_8	13063	14109	-	0.005991069090717982	0.005991069090717982
2	2_9	14112	14810	-	0.008713523932411397	0.008713523932411397
2	2_10	14807	15091	-	0.00027377388877216664	0.00027377388877216664
2	2_11	15091	16275	-	0.007831110792399851	0.007831110792399851
2	2_12	16348	16986	-	0.005624291564784012	0.005624291564784012
2	2_13	17653	18177	-	0.0288706838936905	0.0288706838936905
2	2_14	18288	18836	-	0.026504668990294526	0.026504668990294526
2	2_15	19503	20414	+	0.023872055180431	0.023872055180431
2	2_16	20423	21406	-	0.02094212318010641	0.02094212318010641
2	2_17	21642	21845	-	0.022587377169121833	0.022587377169121833
2	2_18	22031	22339	-	0.019511039511403275	0.019511039511403275
2	2_19	22575	23150	-	0.022453221232658995	0.022453221232658995
2	2_20	23150	24568	-	0.02733139948602873	0.02733139948602873
2	2_21	24767	26038	+	0.018749323307397866	0.018749323307397866
2	2_22	26175	27554	+	0.01724080851716539	0.01724080851716539
2	2_23	27693	27836	+	0.020561749296559344	0.020561749296559344
2	2_24	27933	29678	-	0.006551579927369715	0.006551579927369715
2	2_25	29713	30129	-	0.00012692879333081475	0.00012692879333081475
2	2_26	30219	31325	-	0.002328682652704549	0.002328682652704549
2	2_27	31657	31893	+	0.011659202847597215	0.011659202847597215
2	2_28	32103	32702	-	0.008538576573552593	0.008538576573552593
2	2_29	32755	33360	-	0.0049700008941928435	0.0049700008941928435
2	2_30	33511	34437	-	0.01817273218835792	0.01817273218835792
2	2_31	34722	35915	-	0.013045076220499366	0.013045076220499366
2	2_32	36116	37342	-	0.013822778227492219	0.013822778227492219
2	2_33	37515	38159	+	0.007923824474329683	0.007923824474329683
2	2_34	38283	38843	-	0.005236826085986152	0.005236826085986152
2	2_35	38949	40187	+	0.06354949570430815	0.06354949570430815
2	2_36	40246	40974	+	0.10011174600320752	0.10011174600320752
2	2_37	41220	42170	+	0.08518692938856567	0.08518692938856567
2	2_38	42342	42518	+	0.0716880915381954	0.0716880915381954
2	2_39	42635	43342	+	0.05947427324019188	0.05947427324019188
2	2_40	43548	45233	-	0.04841793387063476	0.04841793387063476
2	2_41	45570	46523	+	0.040231957111755944	0.040231957111755944
2	2_42	46742	47056	-	0.04171972080349215	0.04171972080349215
2	2_43	47128	47784	+	0.05506361265987466	0.05506361265987466
2	2_44	47789	48097	+	0.0761664247427071	0.0761664247427071
2	2_45	48209	48724	+	0.09949278907536452	0.09949278907536452
2	2_46	48786	49940	-	0.11221269540851879	0.11221269540851879
2	2_47	50182	51246	+	0.12306171683133829	0.12306171683133829
2	2_48	51239	52561	+	0.13276340781175008	0.13276340781175008
2	2_49	52640	53410	+	0.036280131611516796	0.036280131611516796
2	2_50	53579	54130	+	0.022862212232203097	0.022862212232203097
2	2_51	54164	54532	-	0.023863320739488523	0.023863320739488523
2	2_52	54529	54765	-	0.0250087282304279	0.0250087282304279
2	2_53	54956	55738	+	0.027915048026086058	0.027915048026086058
2	2_54	55844	56266	+	0.027798855291094465	0.027798855291094465
2	2_55	56450	57796	+	0.000058566978720945456	0.000058566978720945456
2	2_56	57793	58812	+	0.00002008943300040322	0.00002008943300040322
2	2_57	58931	59764	+	0.021851583307183852	0.021851583307183852
2	2_58	59774	61204	+	0.056395959778207466	0.056395959778207466
2	2_59	61270	61779	+	0.04065311992635029	0.04065311992635029
2	2_60	61854	62432	-	0.03102918647162266	0.03102918647162266
2	2_61	62509	62898	-	0.02336255570883055	0.02336255570883055
