sequence_id	protein_id	start	end	strand	average_p	max_p
CP042324.1	CP042324.1_1	827	1123	+	0.9575867991411838	0.9575867991411838
CP042324.1	CP042324.1_2	1144	3813	+	0.9648923826246136	0.9648923826246136
CP042324.1	CP042324.1_3	3869	6220	+	0.9691307600967218	0.9691307600967218
CP042324.1	CP042324.1_4	6226	7173	+	0.9690019822152108	0.9690019822152108
CP042324.1	CP042324.1_5	7145	9307	+	0.9691185625426061	0.9691185625426061
CP042324.1	CP042324.1_6	9301	10410	+	0.969578634342522	0.969578634342522
CP042324.1	CP042324.1_7	10407	11363	+	0.9708004622717931	0.9708004622717931
CP042324.1	CP042324.1_8	11427	12137	-	0.9723085206869427	0.9723085206869427
CP042324.1	CP042324.1_9	12285	13457	+	0.974118557219587	0.974118557219587
CP042324.1	CP042324.1_10	14044	14625	-	0.9762494728540909	0.9762494728540909
CP042324.1	CP042324.1_11	14739	15029	-	0.9787235192977356	0.9787235192977356
CP042324.1	CP042324.1_12	15235	15360	-	0.9818253627826342	0.9818253627826342
CP042324.1	CP042324.1_13	15317	15595	-	0.9853785260752923	0.9853785260752923
CP042324.1	CP042324.1_14	16070	17302	-	0.9893945689729907	0.9893945689729907
CP042324.1	CP042324.1_15	17715	17918	+	0.9939154282889653	0.9939154282889653
CP042324.1	CP042324.1_16	17937	18263	+	0.999174845863991	0.999174845863991
CP042324.1	CP042324.1_17	18485	19351	-	0.989363560028181	0.989363560028181
CP042324.1	CP042324.1_18	19971	21620	+	0.9744252291748884	0.9744252291748884
CP042324.1	CP042324.1_19	21617	22210	+	0.9609923925214202	0.9609923925214202
CP042324.1	CP042324.1_20	22230	22424	-	0.948924780061624	0.948924780061624
CP042324.1	CP042324.1_21	22843	23061	+	0.945838353516288	0.945838353516288
CP042324.1	CP042324.1_22	23316	23831	+	0.94634003881489	0.94634003881489
CP042324.1	CP042324.1_23	23977	24990	-	0.9471504108610864	0.9471504108610864
CP042324.1	CP042324.1_24	25251	25871	+	0.9482779318207499	0.9482779318207499
CP042324.1	CP042324.1_25	25843	26385	-	0.9497343756308404	0.9497343756308404
CP042324.1	CP042324.1_26	26527	28728	-	0.9515349509466456	0.9515349509466456
CP042324.1	CP042324.1_27	29163	29519	+	0.956667467877904	0.956667467877904
